ID,Price-in-dollars
uid_38808,-111.3968997
uid_36032,-714.1625977
uid_28576,2161.467927
uid_51190,10405.95771
uid_10963,226.336982
uid_36990,5244.868322
uid_29238,3483.181905
uid_21955,12057.83458
uid_36295,4990.883225
uid_3125,1872.66831
uid_32149,8288.873359
uid_33653,1334.291172
uid_41120,10986.89027
uid_26149,4541.727871
uid_36112,10818.65632
uid_2765,15495.84444
uid_28804,7982.602365
uid_47761,429.6977465
uid_52678,1914.503557
uid_12740,1080.966729
uid_41327,7238.455485
uid_46824,10894.85822
uid_40038,-505.5574611
uid_49921,249.6729201
uid_25643,9348.5376
uid_41321,344.1308417
uid_25614,6372.016605
uid_35870,8005.56076
uid_32382,1529.345231
uid_32403,3354.04539
uid_36753,11034.40477
uid_50991,8060.959603
uid_40215,3853.217622
uid_17668,-226.4763049
uid_46052,337.2961959
uid_34014,8250.15566
uid_53567,4833.503279
uid_23971,5893.969701
uid_33982,404.7015303
uid_30705,-544.4824815
uid_35642,9221.772578
uid_39283,3484.670523
uid_41170,10761.48625
uid_23261,5426.399695
uid_2005,1089.60075
uid_48702,2459.061938
uid_7757,9017.233661
uid_39425,7285.33586
uid_24061,1041.226334
uid_34530,5250.513711
uid_50490,1175.035798
uid_28264,1176.239815
uid_34410,4398.952094
uid_19461,1137.032711
uid_36789,8645.219339
uid_20052,5707.27675
uid_43077,16298.13746
uid_1876,1442.044624
uid_10835,1475.410819
uid_22602,905.9657515
uid_22705,2575.241749
uid_16783,4346.687864
uid_33878,9169.433213
uid_5123,4289.118068
uid_30117,6497.427372
uid_21012,-2460.05464
uid_25052,1655.438787
uid_7456,2167.384293
uid_9251,1848.655795
uid_34072,3052.502178
uid_10686,2028.135367
uid_7157,6567.338946
uid_31067,4693.901563
uid_10852,9095.383715
uid_44313,296.8057785
uid_16570,2281.869218
uid_28595,-949.4851222
uid_39275,2368.155992
uid_6822,703.6759055
uid_1249,17772.24583
uid_48673,2251.136135
uid_4692,1148.400871
uid_16684,2216.696037
uid_8670,982.0770429
uid_6701,4043.756763
uid_28270,3967.112632
uid_41181,4592.914256
uid_22228,2536.046496
uid_6385,2113.684831
uid_33480,3761.286142
uid_47967,2018.97573
uid_2809,3299.973148
uid_35607,6306.532356
uid_19670,-222.240085
uid_38130,3499.987209
uid_33608,5613.911916
uid_13247,752.6879234
uid_23410,772.1105738
uid_359,1806.306229
uid_11677,4243.101021
uid_4057,1330.379856
uid_33836,6231.458612
uid_14700,227.3378374
uid_30019,-495.2555605
uid_31702,8416.97438
uid_42272,7867.28991
uid_37229,3586.623762
uid_38046,1869.479557
uid_29511,1770.159586
uid_12337,3822.353134
uid_46300,1857.0275
uid_17599,3341.920148
uid_8291,11448.23683
uid_25353,5835.627157
uid_13262,708.2624065
uid_23562,4690.543864
uid_3037,3295.679635
uid_11731,1705.751958
uid_15906,1527.856727
uid_22864,10660.95786
uid_28770,2378.106004
uid_30594,6107.386133
uid_50450,4292.542643
uid_8918,3504.856025
uid_3060,1287.672789
uid_51668,3880.776308
uid_7433,1251.681922
uid_33230,-17.02319702
uid_43605,68.82113191
uid_29036,1333.414476
